drops,player_id
6480,2505
4914,1339
4361,12455
3996,6130
3563,4144
3456,8125
3190,7528
3078,12540
3066,11589
3051,12500
3012,4098
3003,11834
2997,9494
2988,11435
2905,8147
2835,11630
2736,12670
2600,3321
2511,7090
2475,11571
2464,12486
2450,4381
2440,1479
2370,6865
2349,11619
2275,12547
2272,12641
2268,11650
2205,11623
2168,7607
2152,4066
2097,9506
2056,1166
2043,6151
2030,2078
2008,11562
1998,8800
1976,11625
1971,19
1920,12472
1895,11647
1870,12503
1855,12523
1832,10235
1778,3200
1764,7591
1764,4663
1736,9999
1701,12718
1683,10444
1575,5995
1548,6149
1503,11637
1494,4039
1476,10226
1449,11581
1445,1234
1434,12510
1431,3271
1421,12516
1412,2307
1404,6826
1400,12457
1395,9482
1368,8129
1365,8135
1365,8698
1360,11640
1351,10218
1344,12482
1340,12511
1336,12492
1332,827
1320,13300
1309,12495
1296,2374
1290,5970
1280,4033
1278,9497
1272,8117
1248,11579
1236,12531
1216,12487
1206,6783
1185,12498
1170,11439
1162,8188
1152,9230
1148,12499
1134,12470
1112,4171
1108,12542
1086,6039
1080,12462
1071,7049
1064,9502
1044,DET
1044,4981
1040,9479
1036,CLE
