adds,player_id
9576,8135
7749,13411
6000,13424
5724,8800
5216,13296
4200,8127
3762,8180
3712,13306
3411,13392
3227,8161
2920,11783
2844,13413
2790,13348
2765,13324
2765,13421
2736,11581
2484,13329
2264,8172
2241,13403
2136,4017
2124,9511
1968,11592
1848,11610
1760,13400
1729,13302
1715,13414
1623,2227
1611,13401
1518,13477
1503,10226
1500,13420
1485,13435
1458,13303
1440,13289
1431,10219
1424,8117
1368,5995
1260,13322
1251,19
1156,13434
1152,11625
1104,13319
1060,13402
1008,12502
990,12503
960,9502
918,9487
912,12457
912,1166
848,4066
848,3321
836,4147
822,JAX
792,12487
783,13533
752,12641
749,8188
744,6865
740,9479
736,12545
729,11435
720,13270
711,9506
680,5849
675,DET
672,13335
666,11571
651,9225
648,12535
640,12544
635,13282
630,11637
621,9482
612,6149
608,4993
604,1479
585,13427
582,12711
582,7591
580,8698
576,6783
564,13408
564,10213
558,4039
552,6039
552,12467
552,8111
549,13347
546,12015
545,12471
545,13307
544,13320
540,11603
530,2747
528,11539
522,13317
516,12860
513,6826
510,8408
495,9480
