player_id,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,pass_air_yd,pass_rz_att,rush_att,rush_yd,rush_td,rush_btkl,rush_yac,rush_rz_att,rush_tkl_loss,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_yar,rec_drop,rec_rz_tgt,fum,fum_lost,st_td,off_snp,tm_off_snp,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rush_yd_100,bonus_rush_yd_200,bonus_rec_yd_100,bonus_rec_yd_200,season,position,points_freedom,points_uww,ppg_freedom,ppg_uww,pos_rank_freedom_tot,pos_rank_freedom_per,rank_freedom_tot,rank_freedom_per,pos_rank_uww_tot,pos_rank_uww_per,rank_uww_tot,rank_uww_per,starter_freedom,starter_uww
4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
4038,3.0,,,,,,,,,,,,,,,,2.0,7.0,17.0,,14.0,3.0,1.0,,,,,92.0,244.0,,,,,,,2020,WR,3.7,3.7,1.2,1.2,175.0,163.0,436.0,409.0,175.0,163.0,434.0,405.0,False,False
12507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
11439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
11282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
3730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
13302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
5718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
11445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
5619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
5122,16.0,,,,,,,,,80.0,374.0,1.0,10.0,137.0,13.0,6.0,25.0,36.0,212.0,1.0,31.0,181.0,,5.0,2.0,,,393.0,1168.0,,,,,,,2020,RB,95.6,95.6,6.0,6.0,50.0,64.0,185.0,236.0,50.0,64.0,183.0,236.0,False,False
11629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
13295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
2320,15.0,,,,,,,,,215.0,986.0,9.0,16.0,410.0,27.0,25.0,32.0,44.0,158.0,1.0,-9.0,167.0,3.0,4.0,4.0,4.0,,638.0,1034.0,,,2.0,,,,2020,RB,202.4,202.4,13.5,13.5,14.0,24.0,61.0,90.0,14.0,24.0,60.0,85.0,True,True
1895,2.0,1.0,1.0,20.0,,,1.0,18.0,,,,,,,,,,,,,,,,,,,,2.0,1002.0,,,,,,,2020,QB,0.8,0.4,0.4,0.2,69.0,68.0,478.0,462.0,69.0,66.0,479.0,467.0,False,False
11906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
12493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
12028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
12699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
13323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
12244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
1387,10.0,,,,,,,,,67.0,274.0,3.0,5.0,99.0,12.0,8.0,25.0,33.0,192.0,3.0,-15.0,207.0,,6.0,,,,274.0,668.0,,,,,,,2020,RB,107.6,107.6,10.8,10.8,43.0,33.0,163.0,130.0,43.0,33.0,160.0,122.0,False,False
7553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
5143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
8410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
11304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
